model,accuracy,precision,recall,f1_score,auc
Logistic Regression (balanced),0.881,0.5023696682464455,0.8833333333333333,0.6404833836858006,0.9492116477272726
Random Forest (GridSearchCV),0.8865,0.5165394402035624,0.8458333333333333,0.641390205371248,0.940262784090909
규칙 기반 베이스라인,0.7575,0.296849087893864,0.7458333333333333,0.4246737841043891,0.7524621212121212
